compatible_string,hardware_model,driver_file,first_version,subsystem
"qcom,wcnss-bt",wcnss-bt,drivers/bluetooth/btqcomsmd.c,n/a,bluetooth
"realtek,rtl8723bs-bt",h5_data_rtl8723bs,drivers/bluetooth/hci_h5.c,n/a,bluetooth
"realtek,rtl8723cs-bt",h5_data_rtl8723bs,drivers/bluetooth/hci_h5.c,n/a,bluetooth
"realtek,rtl8723ds-bt",h5_data_rtl8723bs,drivers/bluetooth/hci_h5.c,n/a,bluetooth
"realtek,rtl8822cs-bt",h5_data_rtl8822cs,drivers/bluetooth/hci_h5.c,n/a,bluetooth
"ti,cc2560",cc2560,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1271-st",wl1271-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1273-st",wl1273-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1281-st",wl1281-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1283-st",wl1283-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1285-st",wl1285-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1801-st",wl1801-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1805-st",wl1805-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1807-st",wl1807-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1831-st",wl1831-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1835-st",wl1835-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"ti,wl1837-st",wl1837-st,drivers/bluetooth/hci_ll.c,n/a,bluetooth
"usb1286,204e",204e,drivers/bluetooth/btusb.c,n/a,bluetooth
"usb4ca,301a",301a,drivers/bluetooth/btusb.c,n/a,bluetooth
"usbcf3,e300",e300,drivers/bluetooth/btusb.c,n/a,bluetooth
"allwinner,sun50i-a64-de2",sun50i-a64-de2,drivers/bus/sun50i-de2.c,n/a,bus
"allwinner,sun8i-a23-rsb",sun8i-a23-rsb,drivers/bus/sunxi-rsb.c,n/a,bus
"arm,cci-400",CCI400_PORTS_DATA,drivers/bus/arm-cci.c,n/a,bus
"arm,cci-400-ctrl-if",cci-400-ctrl-if,drivers/bus/arm-cci.c,n/a,bus
"arm,cci-500",cci-500,drivers/bus/arm-cci.c,n/a,bus
"arm,cci-550",cci-550,drivers/bus/arm-cci.c,n/a,bus
"arm,integrator-ap-lm",integrator-ap-lm,drivers/bus/arm-integrator-lm.c,n/a,bus
"baikal,bt1-apb",bt1-apb,drivers/bus/bt1-apb.c,n/a,bus
"baikal,bt1-axi",bt1-axi,drivers/bus/bt1-axi.c,n/a,bus
"brcm,bcm7038-gisb-arb",gisb_offsets_bcm7038,drivers/bus/brcmstb_gisb.c,n/a,bus
"brcm,bcm7278-gisb-arb",gisb_offsets_bcm7278,drivers/bus/brcmstb_gisb.c,n/a,bus
"brcm,bcm7400-gisb-arb",gisb_offsets_bcm7400,drivers/bus/brcmstb_gisb.c,n/a,bus
"brcm,bcm74165-gisb-arb",gisb_offsets_bcm74165,drivers/bus/brcmstb_gisb.c,n/a,bus
"brcm,bcm7435-gisb-arb",gisb_offsets_bcm7435,drivers/bus/brcmstb_gisb.c,n/a,bus
"brcm,bcm7445-gisb-arb",gisb_offsets_bcm7445,drivers/bus/brcmstb_gisb.c,n/a,bus
"brcm,gisb-arb",gisb_offsets_bcm7445,drivers/bus/brcmstb_gisb.c,n/a,bus
"cznic,moxtet",moxtet,drivers/bus/moxtet.c,n/a,bus
"fsl,imx1-weim",imx1_weim_devtype,drivers/bus/imx-weim.c,n/a,bus
"fsl,imx27-weim",imx27_weim_devtype,drivers/bus/imx-weim.c,n/a,bus
"fsl,imx50-weim",imx50_weim_devtype,drivers/bus/imx-weim.c,n/a,bus
"fsl,imx51-weim",imx51_weim_devtype,drivers/bus/imx-weim.c,n/a,bus
"fsl,imx6q-weim",imx50_weim_devtype,drivers/bus/imx-weim.c,n/a,bus
"fsl,imx8mp-aipstz",imx8mp_aipstz_default_cfg,drivers/bus/imx-aipstz.c,n/a,bus
"fsl,qoriq-mc",qoriq-mc,drivers/bus/fsl-mc/fsl-mc-bus.c,n/a,bus
"hisilicon,hip06-lpc",hip06-lpc,drivers/bus/hisi_lpc.c,n/a,bus
